Balloon filename (gpx),station,expected timeframe
SMT_20220725_231505.gpx,21,2022-07-25 23:17:47+00:00 till 2022-07-25 23:18:08+00:00
SMT_20220726_111605.gpx,21,2022-07-26 11:18:19+00:00 till 2022-07-26 11:19:03+00:00
SMT_20220803_232212.gpx,21,2022-08-03 23:23:53+00:00 till 2022-08-03 23:23:54+00:00
SMT_20220807_231525.gpx,11,2022-08-07 23:18:24+00:00 till 2022-08-07 23:18:25+00:00
SMT_20220808_231507.gpx,11,2022-08-08 23:18:27+00:00 till 2022-08-08 23:18:43+00:00
SMT_20220826_113003.gpx,21,2022-08-26 11:32:04+00:00 till 2022-08-26 11:32:42+00:00
SMT_20220829_111459.gpx,21,2022-08-29 11:15:53+00:00 till 2022-08-29 11:15:59+00:00
SMT_20220829_231438.gpx,22,2022-08-29 23:16:29+00:00 till 2022-08-29 23:16:42+00:00
SMT_20220829_231438.gpx,23,2022-08-29 23:17:39+00:00 till 2022-08-29 23:17:40+00:00
SMT_20220830_231921.gpx,12,2022-08-30 23:22:15+00:00 till 2022-08-30 23:22:29+00:00
SMT_20220831_111419.gpx,11,2022-08-31 11:16:20+00:00 till 2022-08-31 11:16:26+00:00
SMT_20220904_111459.gpx,21,2022-09-04 11:16:45+00:00 till 2022-09-04 11:18:05+00:00
SMT_20220916_231807.gpx,21,2022-09-16 23:19:09+00:00 till 2022-09-16 23:19:17+00:00
